Thumbnail,Sequence,Episode,Shot Name,VFX Shot Status,Key Shot,Shot Methodologies,Scope of Work,Vendors,VFX Turnover to Vendor Date,VFX Next Studio Review Date,VFX Final Delivery Date,VFX Final Version,Shot Cost,Currency,Report Date,Report Note
,,101,PEEL_101_SH_0750,SCHED,,CLEANUP,"Bike Rig Clean Up
Check any crew and 
shoot material cleanup",Satya Sai VFX studio,09/09/2026,,,,,,,
,,101,PEEL_101_SH_0760,SCHED,,CLEANUP,"Sunglass Reflection and Mirror Reflection
Wig Touch Up",Satya Sai VFX studio,09/09/2026,,,,,,,
,,101,PEEL_101_SH_0770,SCHED,,CLEANUP,"Sunglass Reflection and Mirror Reflection
Wig Touch Up",Satya Sai VFX studio,09/09/2026,,,,,,,
,,101,PEEL_101_SH_0780,SCHED,,CLEANUP,"Sunglass Reflection and Mirror Reflection
Wig Touch Up",Satya Sai VFX studio,09/09/2026,,,,,,,
,,101,PEEL_101_SH_0790,SCHED,,CLEANUP,"Sunglass Reflection and Mirror Reflection
Wig Touch Up",Satya Sai VFX studio,09/09/2026,,,,,,,
,,101,PEEL_101_SH_0800,SCHED,,CLEANUP,"Sunglass Reflection and Mirror Reflection
Wig Touch Up",Satya Sai VFX studio,09/09/2026,,,,,,,
,,101,PEEL_101_SH_0810,SCHED,,CLEANUP,"Sunglass Reflection and Mirror Reflection
Wig Touch Up",Satya Sai VFX studio,09/09/2026,,,,,,,
,,101,PEEL_101_SH_0820,SCHED,,CLEANUP,"Sunglass Reflection and Mirror Reflection
Wig Touch Up
Brand Clean Up on Bus",Satya Sai VFX studio,09/09/2026,,,,,,,
,,101,PEEL_101_SH_0830,SCHED,,CLEANUP,"Sunglass Reflection and Mirror Reflection
Wig Touch Up",Satya Sai VFX studio,09/09/2026,,,,,,,
,,101,PEEL_101_SH_0970,SCHED,,CLEANUP,Wig Touch Up,Satya Sai VFX studio,09/09/2026,,,,,,,
,,101,PEEL_101_SH_0980,SCHED,,CLEANUP,Wig Touch Up,Satya Sai VFX studio,09/09/2026,,,,,,,
,,101,PEEL_101_SH_1000,SCHED,,CLEANUP,Wig Touch Up,Satya Sai VFX studio,09/09/2026,,,,,,,
